Name,Gender,Ethnicity,University,Specialty,Experience,GPA,Publications,InterviewScore,Hired
Gregory Walker,Male,Tiv,UNILAG,Corporate,Junior,4.71,1,3.3,0
Pamela Cline,Male,Other,UI,Human Rights,Junior,4.04,2,8.4,1
Melissa Hopkins,Male,Tiv,ABU Zaria,Intellectual Property,Mid-level,4.29,2,4.6,0
Victoria Henderson,Female,Yoruba,UI,Intellectual Property,Senior,4.33,0,6.8,0
Daniel Fisher,Male,Yoruba,Other,Intellectual Property,Senior,3.71,1,5.4,0
Cole Reyes,Female,Fulani,UNILAG,Criminal,Senior,4.37,0,3.2,0
Clayton Lopez,Male,Tiv,Babcock,Intellectual Property,Junior,4.21,1,2.5,0
Kenneth Dougherty,Male,Igbo,Babcock,Tax,Senior,3.22,1,8.3,0
Brittany Pineda,Male,Hausa,LASU,Human Rights,Senior,4.25,1,6.2,0
Stephanie Rojas,Male,Ijaw,ABU Zaria,Corporate,Senior,4.28,0,9.6,1
Jasmine Wise,Female,Igbo,UNIBEN,Tax,Senior,3.62,2,7.1,0
Wendy Stewart,Female,Igbo,UNILAG,Tax,Senior,3.64,1,3.9,0
Nancy Anderson,Female,Hausa,UNILAG,Tax,Mid-level,3.72,2,3.2,0
Hector Black,Female,Other,LASU,Family,Senior,4.36,1,6.0,0
Nancy Weaver,Male,Hausa,Babcock,Tax,Mid-level,4.23,1,3.5,0
Eric Spencer,Male,Other,UNN,Tax,Mid-level,3.73,1,1.9,0
Anthony Carrillo,Female,Igbo,Babcock,Family,Senior,4.06,0,8.3,1
Tina Tran,Male,Hausa,LASU,Family,Junior,2.75,1,9.1,1
Kevin Johnston,Female,Ijaw,ABU Zaria,Intellectual Property,Mid-level,4.02,2,9.8,1
Regina Ashley,Male,Igbo,ABU Zaria,Family,Senior,3.93,3,9.4,1
Brian Hicks,Male,Other,UNN,Tax,Senior,3.75,1,6.5,0
Isaac Oneal,Female,Tiv,LASU,Tax,Junior,4.31,1,9.0,1
Kaitlyn Watkins,Male,Ijaw,ABU Zaria,Intellectual Property,Senior,4.37,1,6.2,0
David Jennings,Male,Hausa,UNILAG,Criminal,Mid-level,3.89,0,6.8,0
Donald Thompson,Male,Tiv,Covenant,Criminal,Senior,3.98,1,5.1,0
Cody Bonilla,Male,Tiv,ABU Zaria,Intellectual Property,Junior,4.52,0,5.6,0
William Smith,Male,Other,UNN,Tax,Junior,3.36,2,7.0,0
Alexander Carter,Female,Other,Other,Human Rights,Senior,4.4,1,4.4,0
John Patton,Female,Igbo,UI,Intellectual Property,Junior,3.94,2,8.0,1
Gregory Wilson,Female,Other,UNILAG,Human Rights,Junior,4.56,0,7.0,0
Terri Schultz,Male,Fulani,Covenant,Tax,Senior,4.01,0,4.2,0
Mr. Mark Cordova,Female,Other,Babcock,Corporate,Senior,5.0,1,6.6,0
Philip Wilson,Female,Hausa,Other,Corporate,Mid-level,4.09,1,2.2,0
Ernest Sweeney,Female,Other,ABU Zaria,Family,Senior,4.11,3,9.3,1
Kimberly Mcdonald,Male,Hausa,Other,Intellectual Property,Senior,4.2,0,3.8,0
Heidi Burton,Female,Ijaw,UNILAG,Criminal,Senior,3.72,0,1.2,0
Isabella Clark,Male,Igbo,Babcock,Tax,Mid-level,4.81,1,5.0,0
Jason Romero,Female,Yoruba,ABU Zaria,Family,Junior,3.62,0,5.3,0
Abigail Tate,Male,Ijaw,UNIBEN,Criminal,Junior,4.14,0,5.3,0
Michelle Randall,Female,Yoruba,UNN,Human Rights,Junior,4.37,1,6.0,0
Justin King,Male,Hausa,Babcock,Corporate,Junior,3.76,2,5.9,0
Jared Santiago,Male,Hausa,Babcock,Human Rights,Junior,3.78,0,1.6,0
William Duncan MD,Female,Fulani,UI,Human Rights,Junior,4.27,0,3.6,0
Derek Brown,Female,Fulani,Covenant,Human Rights,Junior,3.73,2,5.0,0
Bryan Ashley,Female,Tiv,UNN,Human Rights,Junior,3.81,1,7.7,0
Cheryl Mercer,Male,Other,UNIBEN,Corporate,Senior,4.05,3,8.4,1
Robert Rivers,Female,Hausa,UNIBEN,Human Rights,Mid-level,3.34,2,5.0,0
Ann Mitchell,Male,Igbo,UNN,Corporate,Junior,3.72,2,6.4,0
Jared Singleton,Male,Ijaw,Other,Human Rights,Mid-level,4.47,0,5.6,0
Thomas Lambert,Male,Hausa,Babcock,Intellectual Property,Senior,3.52,2,3.1,0
Natalie Howard,Female,Other,UNILAG,Tax,Junior,3.37,2,3.1,0
Christine Griffin,Female,Fulani,UNN,Family,Junior,3.67,1,4.0,0
Shawn Stevenson,Male,Tiv,UNILAG,Corporate,Senior,3.78,2,6.1,0
Crystal Hernandez,Female,Tiv,UI,Criminal,Mid-level,3.64,0,9.4,1
Bryan Boyd,Male,Igbo,UNN,Intellectual Property,Mid-level,4.21,1,8.9,1
Nicholas Ortiz,Female,Tiv,Covenant,Criminal,Senior,4.38,1,8.4,1
Robert Lee,Female,Tiv,LASU,Intellectual Property,Junior,4.53,0,4.4,0
Edgar Arnold,Female,Other,UI,Family,Senior,4.27,1,6.0,0
Kenneth Avery,Female,Tiv,UNN,Corporate,Junior,4.53,1,8.3,1
Kathy Turner,Female,Fulani,LASU,Criminal,Senior,4.19,1,2.4,0
Kristen Wilson,Male,Igbo,UI,Human Rights,Junior,3.91,1,9.4,1
Elaine Mcgee,Male,Other,Other,Intellectual Property,Junior,4.29,1,2.0,0
Daniel Williams MD,Female,Yoruba,UI,Corporate,Mid-level,3.41,0,1.9,0
Alexis Morgan,Female,Tiv,Covenant,Criminal,Junior,3.73,1,7.1,0
Tina Lewis,Female,Yoruba,LASU,Family,Mid-level,3.92,3,2.8,0
Ashley Garcia,Female,Hausa,UNILAG,Family,Junior,3.97,1,4.4,0
Angel Peters,Male,Igbo,Other,Corporate,Junior,3.62,1,9.4,1
Nicole Carter,Male,Hausa,UNIBEN,Criminal,Junior,3.33,3,7.9,0
Catherine Morrison,Female,Tiv,UNIBEN,Corporate,Junior,4.45,1,1.2,0
Debra Marks,Female,Tiv,UI,Corporate,Mid-level,2.72,2,9.1,1
Kayla Haynes,Female,Fulani,Covenant,Family,Senior,4.28,3,6.3,0
Holly Richards,Female,Igbo,LASU,Human Rights,Mid-level,4.84,1,2.3,0
Tammy Cunningham,Female,Igbo,ABU Zaria,Family,Mid-level,3.66,1,9.7,1
Mary Phillips,Male,Other,Other,Criminal,Senior,2.65,1,7.6,0
Andrew Bullock,Male,Ijaw,Other,Tax,Mid-level,4.27,0,7.7,0
Rebecca Galvan,Male,Other,UNN,Corporate,Junior,4.09,0,7.5,0
Marcia Clay,Male,Tiv,UNIBEN,Human Rights,Senior,3.52,1,8.2,0
Bruce Smith,Female,Ijaw,UNILAG,Family,Mid-level,3.83,1,9.8,1
Michael Crawford,Female,Hausa,LASU,Intellectual Property,Senior,4.36,4,9.0,1
Peter Ryan,Female,Hausa,Babcock,Criminal,Senior,4.36,2,3.9,0
Steven Barrett,Male,Fulani,Covenant,Criminal,Mid-level,4.25,1,4.4,0
Joanna Johnson,Male,Hausa,Babcock,Corporate,Mid-level,3.97,2,5.1,0
Dr. Linda Love,Male,Fulani,UI,Criminal,Senior,3.78,1,3.6,0
Joshua Miller,Female,Ijaw,UNIBEN,Human Rights,Mid-level,3.32,1,8.7,0
Melissa Stone,Female,Hausa,ABU Zaria,Human Rights,Mid-level,4.92,0,8.8,1
Dwayne Patterson,Female,Other,LASU,Criminal,Mid-level,3.32,0,3.3,0
David Carr,Male,Hausa,Covenant,Human Rights,Mid-level,4.44,0,1.4,0
Charles Cobb,Female,Fulani,UNN,Intellectual Property,Senior,3.63,0,4.4,0
Christopher Carroll,Female,Tiv,UNIBEN,Tax,Mid-level,3.88,0,5.0,0
Nathan Edwards,Male,Tiv,UNIBEN,Criminal,Senior,2.91,0,9.6,1
Olivia Carson,Female,Other,UNN,Family,Senior,4.15,2,6.1,0
Jose Goodwin,Male,Fulani,Other,Human Rights,Junior,3.65,0,7.2,0
Melissa Thompson,Female,Ijaw,UNN,Intellectual Property,Senior,3.59,1,3.6,0
Julia Ross,Male,Hausa,Babcock,Family,Mid-level,3.44,1,8.8,1
Benjamin Cooper,Female,Tiv,UNIBEN,Tax,Mid-level,4.08,1,7.1,0
Richard Morales,Male,Igbo,UI,Corporate,Mid-level,3.75,0,5.5,0
Zachary Lee,Male,Ijaw,UI,Criminal,Junior,3.6,3,2.6,0
Samantha Green,Female,Fulani,UNILAG,Family,Mid-level,4.12,0,4.9,0
Erin Carpenter,Male,Igbo,UNIBEN,Tax,Senior,4.01,1,4.5,0
Elizabeth Howard,Male,Ijaw,ABU Zaria,Criminal,Mid-level,4.33,0,1.9,0
Frank Mack,Male,Yoruba,ABU Zaria,Corporate,Senior,3.95,1,6.5,0
Pamela Reeves,Female,Other,Covenant,Intellectual Property,Mid-level,3.17,1,1.1,0
Jamie Rodriguez,Female,Yoruba,Covenant,Corporate,Junior,4.24,2,4.8,0
Cindy Ryan,Female,Ijaw,UNILAG,Corporate,Senior,3.74,0,5.7,0
Michael Johnson,Female,Hausa,Other,Tax,Mid-level,3.96,1,9.2,1
Edward Rogers,Male,Igbo,Covenant,Corporate,Senior,2.99,1,2.0,0
Thomas Miller,Male,Yoruba,UI,Family,Senior,4.03,1,10.0,1
Chelsea Woods,Female,Fulani,UNN,Intellectual Property,Mid-level,3.73,1,3.1,0
Abigail Combs,Female,Fulani,UI,Intellectual Property,Senior,4.76,3,7.1,1
Aaron Gonzalez,Male,Ijaw,Covenant,Human Rights,Senior,3.69,0,5.3,0
Kenneth Rice,Male,Fulani,UI,Criminal,Junior,3.6,0,2.6,0
Tonya Harvey,Male,Hausa,ABU Zaria,Criminal,Mid-level,3.71,0,7.8,0
Taylor Bauer,Male,Yoruba,LASU,Human Rights,Junior,3.97,1,8.8,1
Paul Clark,Male,Yoruba,Other,Intellectual Property,Senior,3.42,3,8.0,1
Ms. Amy Frazier,Female,Other,Covenant,Criminal,Mid-level,4.09,2,4.0,0
Samantha Harper,Female,Other,UI,Family,Senior,3.18,2,5.2,0
Heather Smith MD,Female,Yoruba,Babcock,Criminal,Senior,3.9,2,9.9,1
Steven Watkins,Female,Fulani,Covenant,Intellectual Property,Mid-level,4.86,1,8.0,1
Catherine Hudson,Female,Yoruba,UNN,Tax,Mid-level,4.34,1,4.0,0
Jennifer Warren,Male,Igbo,UNILAG,Tax,Mid-level,3.08,0,2.8,0
Heather Bowman,Female,Fulani,Other,Corporate,Senior,3.25,0,8.8,0
Eric Mitchell,Male,Hausa,Covenant,Intellectual Property,Senior,4.24,2,7.8,1
Marissa Zamora,Female,Igbo,ABU Zaria,Intellectual Property,Junior,3.93,0,4.5,0
Paul Cook,Male,Ijaw,LASU,Tax,Mid-level,3.21,2,8.3,0
Derrick Miller,Male,Ijaw,UNN,Human Rights,Mid-level,3.47,1,3.7,0
Anthony King,Male,Other,ABU Zaria,Criminal,Junior,3.9,1,8.5,1
Francisco Miller,Male,Yoruba,ABU Zaria,Criminal,Junior,4.36,1,1.8,0
William Lester,Female,Yoruba,Covenant,Corporate,Junior,4.56,2,7.3,1
Stephen Singleton,Female,Ijaw,LASU,Criminal,Senior,3.79,1,7.5,0
Mark Reid,Female,Other,UNIBEN,Family,Junior,4.71,1,2.9,0
Victoria Terry,Male,Tiv,UI,Corporate,Junior,4.44,2,9.7,1
Jennifer Hunter,Female,Hausa,UI,Tax,Mid-level,3.53,6,2.3,0
Kim Gonzalez,Female,Yoruba,ABU Zaria,Intellectual Property,Junior,4.22,1,6.1,0
Juan Reyes,Male,Hausa,UI,Corporate,Senior,3.79,0,1.8,0
Charles Walsh,Female,Other,UNIBEN,Intellectual Property,Junior,3.79,1,6.9,0
Dustin Bryant,Male,Yoruba,Babcock,Criminal,Mid-level,4.19,2,9.8,1
Scott Malone,Female,Yoruba,ABU Zaria,Tax,Mid-level,2.74,1,7.6,0
Patrick Rivera,Male,Ijaw,UNIBEN,Corporate,Junior,4.92,1,6.3,0
Carlos Diaz,Male,Tiv,Other,Corporate,Junior,4.55,0,7.8,1
James Brock,Female,Tiv,UI,Tax,Mid-level,3.63,0,5.6,0
Victoria Martinez,Male,Igbo,Babcock,Family,Junior,5.08,1,7.5,1
Erika Robertson,Female,Yoruba,Babcock,Human Rights,Senior,4.02,1,1.0,0
Katrina Watts,Male,Ijaw,ABU Zaria,Intellectual Property,Junior,3.65,1,4.2,0
Dana Diaz,Female,Fulani,Other,Human Rights,Senior,4.35,1,1.9,0
John Allison,Female,Igbo,UNILAG,Tax,Junior,4.03,1,1.2,0
Colleen Castro,Male,Fulani,UNILAG,Tax,Mid-level,3.39,2,3.8,0
Natalie Morrow DVM,Male,Igbo,ABU Zaria,Tax,Mid-level,3.91,2,1.3,0
Dr. David Diaz,Female,Fulani,Other,Human Rights,Mid-level,3.63,2,9.3,1
Scott Mcgrath,Male,Yoruba,UNIBEN,Criminal,Mid-level,3.39,0,6.7,0
Jonathan Ruiz,Male,Fulani,UNN,Criminal,Mid-level,3.62,1,8.2,1
Jennifer Moore,Female,Fulani,UI,Human Rights,Junior,3.46,2,4.4,0
Christopher Leonard,Male,Tiv,Babcock,Human Rights,Senior,3.97,2,6.9,0
Jennifer Griffin,Male,Other,UNILAG,Criminal,Senior,4.16,0,6.1,0
Heather Gonzalez,Female,Other,Covenant,Corporate,Senior,4.51,1,3.9,0
Emily Parker,Male,Other,UNIBEN,Tax,Senior,3.88,1,1.1,0
Barbara Conley,Female,Hausa,LASU,Intellectual Property,Junior,4.08,1,5.1,0
Paul Smith,Female,Igbo,UI,Family,Senior,4.59,1,1.9,0
Wendy Rodriguez,Female,Hausa,Covenant,Human Rights,Senior,3.83,2,9.0,1
James Graves,Male,Fulani,UNN,Criminal,Mid-level,3.87,1,8.7,1
Samuel Mills,Female,Ijaw,UI,Tax,Junior,4.41,2,5.9,0
Jared King,Male,Hausa,Other,Corporate,Mid-level,4.04,1,6.4,0
Angela Sanchez,Male,Other,UNIBEN,Corporate,Mid-level,4.18,1,9.8,1
Stephen Wagner,Male,Igbo,Covenant,Tax,Mid-level,3.73,1,9.2,1
Johnny Gilmore,Female,Other,UNIBEN,Intellectual Property,Senior,4.21,2,1.1,0
Ricky Austin,Female,Tiv,Other,Criminal,Junior,3.99,1,8.0,0
Mark Brewer,Male,Hausa,UNILAG,Criminal,Junior,4.5,4,6.0,0
David Cherry,Male,Hausa,UI,Intellectual Property,Mid-level,5.0,1,7.5,1
Jennifer Diaz,Male,Fulani,LASU,Human Rights,Mid-level,4.3,2,5.7,0
Mark Riddle,Male,Yoruba,UNILAG,Corporate,Mid-level,3.18,0,1.4,0
Taylor Campbell,Male,Fulani,UNIBEN,Intellectual Property,Senior,3.89,0,5.6,0
Victoria Montoya,Female,Yoruba,ABU Zaria,Intellectual Property,Junior,4.57,0,9.6,1
April Harmon,Female,Other,UNILAG,Criminal,Mid-level,4.89,1,9.7,1
Joshua Miller,Male,Tiv,Covenant,Human Rights,Mid-level,3.04,2,7.4,0
Robert Heath,Male,Ijaw,UNIBEN,Human Rights,Junior,3.83,0,8.8,1
Ashley Smith,Female,Tiv,ABU Zaria,Family,Mid-level,3.99,2,3.3,0
Vincent Hodge,Male,Ijaw,LASU,Human Rights,Junior,4.11,0,6.0,0
Robert Bauer,Female,Ijaw,UNIBEN,Human Rights,Senior,4.41,0,4.7,0
Lori Stafford,Male,Yoruba,UNN,Tax,Mid-level,3.89,1,9.6,1
Joseph Woods,Male,Igbo,ABU Zaria,Human Rights,Junior,3.29,2,1.1,0
Keith Watson,Male,Hausa,Babcock,Human Rights,Mid-level,3.2,0,5.4,0
Amanda Bates,Male,Ijaw,UI,Intellectual Property,Mid-level,4.28,0,9.0,1
Adam Wallace,Female,Other,UNIBEN,Family,Senior,4.15,1,3.4,0
Jessica Owen,Male,Yoruba,UNIBEN,Tax,Mid-level,3.7,0,9.8,1
Candace Meza,Female,Tiv,Other,Criminal,Mid-level,4.22,1,9.6,1
Jennifer Meyer,Female,Yoruba,LASU,Tax,Junior,4.25,0,1.2,0
Kristina Colon,Female,Other,UI,Tax,Senior,3.93,0,1.4,0
Christopher Kelly,Male,Igbo,Babcock,Intellectual Property,Senior,4.24,1,9.6,1
Deborah Wong,Female,Hausa,ABU Zaria,Tax,Junior,4.16,2,9.0,1
Morgan Graves,Female,Tiv,UNN,Intellectual Property,Junior,3.86,2,8.6,1
Wendy Jones,Male,Ijaw,UNIBEN,Tax,Mid-level,3.89,0,7.2,0
Nathaniel Davis,Female,Hausa,UNN,Tax,Junior,4.13,2,8.9,1
Mitchell Hendricks,Male,Other,UNIBEN,Intellectual Property,Junior,4.74,0,5.1,0
Stephen Wagner,Male,Fulani,Babcock,Tax,Junior,3.99,1,2.6,0
Lance Rivers,Female,Ijaw,UI,Tax,Senior,4.67,3,3.5,0
Kelly Gregory,Female,Yoruba,UNIBEN,Criminal,Mid-level,3.67,3,5.1,0
Marissa Cummings MD,Female,Yoruba,Babcock,Corporate,Senior,4.1,2,3.8,0
Steven Berry,Male,Other,Babcock,Corporate,Senior,3.8,0,5.5,0
Mckenzie Gray,Male,Other,UNIBEN,Corporate,Junior,3.98,0,3.2,0
Hunter Garcia,Male,Tiv,UNIBEN,Tax,Mid-level,4.52,0,3.2,0
Tiffany Morris,Male,Yoruba,UNIBEN,Intellectual Property,Mid-level,4.27,1,4.2,0
David Payne,Male,Hausa,ABU Zaria,Human Rights,Mid-level,4.27,0,2.8,0
Leslie Brown,Female,Yoruba,LASU,Criminal,Senior,3.44,1,9.9,1
Christopher Mcgrath,Female,Ijaw,ABU Zaria,Intellectual Property,Mid-level,3.62,1,3.8,0
Michael Ramos,Female,Fulani,ABU Zaria,Criminal,Junior,4.18,0,8.0,0
Brian Berg,Female,Yoruba,UNN,Tax,Mid-level,3.42,0,5.3,0
Tara Richardson,Female,Tiv,UNN,Tax,Senior,3.84,0,3.7,0
Paula Morgan,Female,Other,UNN,Corporate,Senior,3.81,0,4.1,0
Michael Sanchez,Female,Hausa,LASU,Corporate,Mid-level,3.74,1,6.8,0
Brittany Anderson,Female,Yoruba,UI,Criminal,Mid-level,4.87,1,8.8,1
Robert Barajas,Male,Yoruba,UNILAG,Criminal,Mid-level,4.75,0,5.5,0
Denise Green,Female,Hausa,ABU Zaria,Human Rights,Senior,3.94,0,4.5,0
Robert Turner,Female,Fulani,LASU,Corporate,Junior,4.27,0,7.4,0
Cheryl Boyd,Female,Ijaw,Babcock,Family,Mid-level,3.82,1,3.4,0
Catherine Castro,Male,Fulani,UI,Corporate,Junior,4.12,0,3.9,0
Laura Burgess,Female,Tiv,UNILAG,Corporate,Senior,3.57,2,9.9,1
Debra Donovan,Male,Fulani,ABU Zaria,Criminal,Mid-level,3.97,0,2.0,0
Heather Mcintosh,Female,Other,Babcock,Corporate,Senior,3.86,1,5.6,0
Philip Savage,Female,Tiv,ABU Zaria,Intellectual Property,Junior,3.28,0,8.9,0
Megan Reynolds,Male,Fulani,UI,Family,Junior,3.55,0,4.9,0
Richard Farley DDS,Female,Igbo,UNN,Tax,Mid-level,4.04,1,6.3,0
Anthony Gentry,Female,Fulani,Other,Human Rights,Junior,4.15,3,4.8,0
Dawn Moreno,Female,Other,Other,Family,Mid-level,4.38,0,5.9,0
Laura Davis,Male,Ijaw,UNILAG,Family,Junior,3.4,1,8.8,1
Andrew Torres,Male,Yoruba,ABU Zaria,Tax,Senior,3.95,1,5.2,0
Kevin Miller,Female,Other,Babcock,Criminal,Senior,4.05,0,4.6,0
Marcia Wallace,Male,Yoruba,ABU Zaria,Human Rights,Mid-level,3.09,0,7.9,0
Mrs. Patricia Jones,Male,Yoruba,UNILAG,Intellectual Property,Mid-level,3.65,0,9.3,1
Mr. Joshua Cobb,Female,Fulani,Babcock,Family,Senior,4.35,0,9.1,1
Terry Moody,Male,Other,LASU,Corporate,Mid-level,4.6,1,9.2,1
Daniel Barnes,Female,Fulani,Other,Human Rights,Senior,4.3,2,3.2,0
Amanda Shaffer MD,Male,Hausa,UNIBEN,Family,Junior,3.99,1,1.9,0
Rhonda Morris,Male,Fulani,Babcock,Tax,Junior,4.14,0,6.0,0
Michael Stevens,Male,Tiv,UNILAG,Intellectual Property,Junior,4.61,1,6.2,0
Joseph Griffith,Male,Fulani,UI,Human Rights,Mid-level,3.19,0,1.9,0
Jeffrey Hernandez,Male,Ijaw,Other,Intellectual Property,Mid-level,4.28,1,3.0,0
Sara Martinez,Female,Ijaw,UI,Family,Junior,4.51,2,9.4,1
Jessica Valenzuela,Male,Fulani,Other,Corporate,Junior,3.94,0,7.9,0
Kayla Roth,Female,Fulani,Other,Criminal,Senior,3.92,0,6.7,0
Richard Marshall,Male,Fulani,LASU,Tax,Junior,4.42,2,7.5,1
Mr. Barry Marshall,Male,Igbo,Babcock,Tax,Senior,3.96,1,8.3,1
Christine Hardy,Male,Yoruba,UNN,Criminal,Junior,4.63,1,3.8,0
Amanda Martin,Female,Ijaw,ABU Zaria,Intellectual Property,Mid-level,3.53,0,4.0,0
Timothy Beck,Male,Hausa,UNIBEN,Intellectual Property,Senior,4.12,2,9.3,1
Brian Smith,Female,Other,Other,Corporate,Mid-level,3.69,1,1.0,0
Heidi King,Male,Hausa,LASU,Family,Mid-level,3.33,2,4.7,0
Gwendolyn Richard,Male,Igbo,UI,Tax,Mid-level,4.16,0,7.9,1
Matthew May,Male,Hausa,Other,Corporate,Junior,3.36,2,8.4,1
Megan Thompson,Male,Yoruba,ABU Zaria,Corporate,Senior,3.8,0,3.2,0
James Watson,Female,Yoruba,Babcock,Criminal,Senior,3.93,2,8.1,1
Angel Jones,Female,Ijaw,Other,Criminal,Mid-level,3.91,1,6.6,0
Paula Hendrix,Female,Yoruba,Other,Corporate,Junior,3.4,2,8.6,1
Taylor Nelson,Male,Other,ABU Zaria,Tax,Mid-level,3.55,1,8.5,1
Denise Rodriguez,Female,Yoruba,UI,Tax,Senior,3.85,1,7.9,1
Brandon Jackson,Male,Hausa,UI,Intellectual Property,Mid-level,4.25,2,2.6,0
Maria Jones,Male,Yoruba,ABU Zaria,Corporate,Mid-level,4.6,0,2.7,0
Jacqueline Oconnor,Female,Fulani,UNILAG,Tax,Mid-level,3.71,1,7.4,0
Mckenzie Lynch,Male,Igbo,ABU Zaria,Intellectual Property,Junior,3.52,0,6.6,0
Krista Lambert MD,Female,Yoruba,ABU Zaria,Tax,Junior,4.36,1,7.6,0
Samantha Anderson,Male,Yoruba,UNN,Tax,Mid-level,4.5,3,8.0,1
